file,hunks,already,portable,partial,manual,noise,status,added,removed
sound/aoa/codecs/onyx.c,28,0,28,0,0,0,FULLY_PORTABLE,32,72
sound/aoa/codecs/tas.c,20,0,20,0,0,0,FULLY_PORTABLE,39,74
drivers/usb/gadget/function/f_mass_storage.c,11,0,11,0,0,0,FULLY_PORTABLE,116,2
drivers/net/usb/catc.c,7,0,7,0,0,0,FULLY_PORTABLE,48,11
drivers/mmc/core/bus.c,6,0,6,0,0,0,FULLY_PORTABLE,44,0
fs/cifs/smb2ops.c,6,0,6,0,0,0,FULLY_PORTABLE,14,4
net/ipv4/igmp.c,6,0,6,0,0,0,FULLY_PORTABLE,7,14
drivers/usb/musb/musb_gadget_ep0.c,5,0,5,0,0,0,FULLY_PORTABLE,48,17
include/linux/usb/phy.h,5,0,5,0,0,0,FULLY_PORTABLE,36,0
kernel/time/tick-sched.c,5,0,5,0,0,0,FULLY_PORTABLE,28,1
Documentation/scheduler/sched-pelt.c,4,0,4,0,0,0,FULLY_PORTABLE,41,24
drivers/clk/at91/clk-main.c,4,0,4,0,0,0,FULLY_PORTABLE,4,4
drivers/scsi/scsi_pm.c,4,0,4,0,0,0,FULLY_PORTABLE,40,1
include/uapi/sound/compress_offload.h,4,0,4,0,0,0,FULLY_PORTABLE,17,1
scripts/extract-cert.c,4,0,4,0,0,0,FULLY_PORTABLE,7,0
sound/aoa/core/gpio-pmf.c,4,0,4,0,0,0,FULLY_PORTABLE,9,17
tools/vm/slabinfo.c,4,0,4,0,0,0,FULLY_PORTABLE,6,1
block/blk-wbt.c,3,0,3,0,0,0,FULLY_PORTABLE,11,0
drivers/clk/at91/clk-usb.c,3,0,3,0,0,0,FULLY_PORTABLE,3,3
drivers/clocksource/arm_arch_timer.c,3,0,3,0,0,0,FULLY_PORTABLE,21,0
drivers/cpufreq/Kconfig,3,0,3,0,0,0,FULLY_PORTABLE,24,0
drivers/md/Kconfig,3,0,3,0,0,0,FULLY_PORTABLE,67,0
drivers/net/ethernet/stmicro/stmmac/enh_desc.c,3,0,3,0,0,0,FULLY_PORTABLE,6,16
drivers/tty/serdev/serdev-ttyport.c,3,0,3,0,0,0,FULLY_PORTABLE,29,1
